papel,segmento,cotação,ffo,dy,p/vp,valor_mercado,liquidez,num_imoveis,preço_m2,aluguel_m2,cap_rate,tx_vacancia
FLCR11,Títulos e Val. Mob.,97.01,0.1691,0.17329999999999998,0.97,61465900.0,176668.0,0.0,0.0,0.0,0.0,0.0
GCFF11,Títulos e Val. Mob.,72.83,0.1127,0.1668,0.86,24660100.0,44998.0,0.0,0.0,0.0,0.0,0.0
GCRI11,Títulos e Val. Mob.,95.94,0.1217,0.1573,0.99,111999000.0,157198.0,0.0,0.0,0.0,0.0,0.0
HABT11,Títulos e Val. Mob.,94.9,0.0736,0.16399999999999998,0.95,771232000.0,1934660.0,0.0,0.0,0.0,0.0,0.0
HCTR11,Títulos e Val. Mob.,106.5,0.0815,0.168,0.88,2351970000.0,7165150.0,0.0,0.0,0.0,0.0,0.0
HGCR11,Títulos e Val. Mob.,103.99,0.09519999999999999,0.1229,1.02,1525220000.0,3645920.0,0.0,0.0,0.0,0.0,0.0
HREC11,Títulos e Val. Mob.,97.19,0.095,0.1207,1.07,452584000.0,16236.0,0.0,0.0,0.0,0.0,0.0
HSAF11,Títulos e Val. Mob.,85.1,0.0984,0.1517,0.9,150935000.0,379700.0,0.0,0.0,0.0,0.0,0.0
IBCR11,Títulos e Val. Mob.,91.87,0.1207,0.18230000000000002,0.97,88050300.0,264665.0,0.0,0.0,0.0,0.0,0.0
IRDM11,Títulos e Val. Mob.,103.5,0.1007,0.1407,1.09,3420110000.0,6960970.0,0.0,0.0,0.0,0.0,0.0
IRIM11,Híbrido,106.86,0.0933,0.1472,1.09,205171000.0,206773.0,0.0,0.0,0.0,0.0,0.0
JPPA11,Híbrido,106.67,0.1013,0.1679,1.06,64424800.0,608720.0,0.0,0.0,0.0,0.0,0.0
KNHY11,Títulos e Val. Mob.,96.6,0.069,0.1586,1.0,1786220000.0,2612020.0,0.0,0.0,0.0,0.0,0.0
KNIP11,Títulos e Val. Mob.,91.84,0.0621,0.1707,0.97,7372880000.0,11186600.0,0.0,0.0,0.0,0.0,0.0
KNSC11,Títulos e Val. Mob.,85.6,0.0558,0.1744,0.97,1136410000.0,4300430.0,0.0,0.0,0.0,0.0,0.0
MATV11,Títulos e Val. Mob.,95.99,0.0655,0.1234,1.02,40888700.0,6063.0,0.0,0.0,0.0,0.0,0.0
MBRF11,Outros,678.0,0.16329999999999997,0.1648,0.61,68928200.0,111195.0,2.0,3816.56,686.86,0.18,0.0
MCCI11,Títulos e Val. Mob.,98.11,0.1184,0.124,1.04,1431830000.0,3351150.0,0.0,0.0,0.0,0.0,0.0
MCHF11,Títulos e Val. Mob.,9.87,0.0825,0.1331,1.03,318876000.0,1201870.0,0.0,0.0,0.0,0.0,0.0
MCHY11,Títulos e Val. Mob.,108.87,0.1477,0.1322,1.06,390818000.0,1212940.0,0.0,0.0,0.0,0.0,0.0
MFAI11,Híbrido,66.34,0.0971,0.129,0.9,20516800.0,36621.0,0.0,0.0,0.0,0.0,0.0
MFII11,Híbrido,96.0,0.121,0.1436,0.96,398102000.0,350956.0,4.0,110.99,0.0,0.0,0.0
MGCR11,Títulos e Val. Mob.,91.07,0.1075,0.1328,1.01,129529000.0,237816.0,0.0,0.0,0.0,0.0,0.0
MGHT11,Híbrido,72.96,0.09050000000000001,0.1245,0.85,95853700.0,106140.0,1.0,8629.36,801.31,0.0929,0.0
MGIM11,Híbrido,101.5,-0.023799999999999998,0.11939999999999999,1.03,25101000.0,0.0,0.0,0.0,0.0,0.0,0.0
MGLG11,Logística,44.6,0.0883,0.1284,1.14,84212600.0,132985.0,2.0,0.0,202.87,0.0,0.0
MORC11,Títulos e Val. Mob.,95.5,0.0821,0.1266,0.97,123380000.0,297186.0,0.0,0.0,0.0,0.0,0.0
OUFF11,Títulos e Val. Mob.,66.96,0.1459,0.1226,0.87,121488000.0,281503.0,0.0,0.0,0.0,0.0,0.0
OUJP11,Híbrido,96.11,0.1409,0.14550000000000002,0.95,312587000.0,703896.0,0.0,0.0,0.0,0.0,0.0
OURE11,Híbrido,83.1,0.1598,0.1432,0.9,89505900.0,144084.0,6.0,2310.61,273.64,0.1184,0.0
PLCR11,Híbrido,85.81,0.1868,0.1478,0.93,180988000.0,383880.0,0.0,0.0,0.0,0.0,0.0
PORD11,Títulos e Val. Mob.,96.5,0.1358,0.15130000000000002,0.98,359788000.0,890600.0,0.0,0.0,0.0,0.0,0.0
QAMI11,Híbrido,86.53,0.2664,0.174,0.94,69345000.0,57013.0,0.0,0.0,0.0,0.0,0.0
RBHG11,Títulos e Val. Mob.,87.6,0.10869999999999999,0.1589,0.92,151336000.0,346003.0,0.0,0.0,0.0,0.0,0.0
RBHY11,Títulos e Val. Mob.,95.9,0.1007,0.1745,0.99,181587000.0,175492.0,0.0,0.0,0.0,0.0,0.0
RBRR11,Títulos e Val. Mob.,96.59,0.10210000000000001,0.13,1.01,1298060000.0,4270350.0,0.0,0.0,0.0,0.0,0.0
RBRY11,Títulos e Val. Mob.,103.96,0.1084,0.13269999999999998,1.03,407497000.0,1249920.0,0.0,0.0,0.0,0.0,0.0
RBVO11,,10.99,0.048499999999999995,0.1938,0.63,5668910.0,6760.0,0.0,0.0,0.0,0.0,0.0
RDPD11,Títulos e Val. Mob.,51.21,0.242,0.1635,0.92,55206500.0,25201.0,0.0,0.0,0.0,0.0,0.0
RECR11,Títulos e Val. Mob.,91.8,0.1421,0.1568,0.96,2427340000.0,5085390.0,0.0,0.0,0.0,0.0,0.0
RECX11,Títulos e Val. Mob.,78.47,0.12050000000000001,0.1303,0.94,17131000.0,12273.0,0.0,0.0,0.0,0.0,0.0
RRCI11,Títulos e Val. Mob.,84.01,0.1243,0.1606,0.87,40472400.0,119732.0,0.0,0.0,0.0,0.0,0.0
RZAK11,Títulos e Val. Mob.,101.4,0.0917,0.1487,1.07,345079000.0,1459450.0,0.0,0.0,0.0,0.0,0.0
RZTR11,Híbrido,106.39,0.11359999999999999,0.1336,1.08,1175400000.0,2880000.0,15.0,2.22,0.32,0.1445,0.0
SNCI11,Títulos e Val. Mob.,100.96,0.050300000000000004,0.1341,1.03,373279000.0,1792540.0,0.0,0.0,0.0,0.0,0.0
SPTW11,Lajes Corporativas,42.76,0.18960000000000002,0.16010000000000002,0.81,76882500.0,170135.0,1.0,5385.17,1148.86,0.2133,0.0
TGAR11,Híbrido,127.3,0.051699999999999996,0.13449999999999998,1.04,1439710000.0,3623020.0,5.0,79.76,1.09,0.0137,0.0
TORD11,Híbrido,8.05,0.061,0.1459,0.57,282163000.0,799089.0,0.0,0.0,0.0,0.0,0.0
URPR11,Outros,102.98,0.0432,0.19269999999999998,1.03,1015200000.0,4726700.0,0.0,0.0,0.0,0.0,0.0
VCJR11,Títulos e Val. Mob.,92.77,0.0977,0.1605,0.99,1365940000.0,1700110.0,0.0,0.0,0.0,0.0,0.0
VERE11,Outros,257.0,0.1328,0.1456,0.77,141372000.0,0.0,4.0,904.84,160.63,0.1775,0.16519999999999999
VGHF11,Híbrido,9.87,0.0512,0.16829999999999998,1.07,719417000.0,3085150.0,0.0,0.0,0.0,0.0,0.0
VGIP11,Títulos e Val. Mob.,91.57,0.0895,0.17350000000000002,1.0,1079360000.0,3288450.0,0.0,0.0,0.0,0.0,0.0
VGIR11,Títulos e Val. Mob.,10.05,0.6071,0.11960000000000001,0.1,76086200.0,3174260.0,0.0,0.0,0.0,0.0,0.0
VOTS11,Títulos e Val. Mob.,88.11,0.1691,0.134,0.93,72947400.0,5940.0,0.0,0.0,0.0,0.0,0.0
VRTA11,Títulos e Val. Mob.,93.15,0.1304,0.1508,0.99,1225160000.0,2420020.0,0.0,0.0,0.0,0.0,0.0
VSLH11,Outros,8.85,0.096,0.1629,0.85,264297000.0,858517.0,0.0,0.0,0.0,0.0,0.0
XPCI11,Títulos e Val. Mob.,92.77,0.062400000000000004,0.1348,0.96,807243000.0,2681780.0,0.0,0.0,0.0,0.0,0.0
XPCM11,Lajes Corporativas,14.21,0.1528,0.13720000000000002,0.27,34311000.0,87911.0,1.0,1507.61,0.0,0.0,1.0
